bytes,warm_ns,cold_ns
4096,2.189694,2.171979
8192,2.141542,2.145146
16384,2.108458,2.092007
32768,2.116375,2.131979
65536,2.145410,2.152847
131072,2.238951,2.157097
163840,5.448778,5.378673
196608,6.280701,8.393368
229376,8.021048,7.325868
262144,7.239090,7.057320
294912,7.453639,6.956632
327680,6.882389,7.152007
360448,6.762611,6.650139
393216,6.724049,7.154403
524288,6.926986,8.440479
1048576,7.097708,7.016681
2097152,7.507375,6.833014
4194304,6.868285,7.246701
5242880,7.083535,7.239945
6291456,7.404431,7.803604
7340032,7.682125,8.456229
8388608,8.439083,9.048708
9437184,8.372729,10.135048
10485760,10.178187,12.072306
11534336,24.673549,18.485375
12582912,27.576604,31.915111
14680064,71.760563,33.481556
16777216,45.891340,45.356840
18874368,95.794528,97.289132
20971520,100.291972,97.020111
23068672,100.672826,112.308292
25165824,102.772056,102.768451
29360128,106.956327,105.526549
33554432,108.320445,107.248417
37748736,109.229959,110.350125
41943040,108.500597,110.096681
46137344,109.159868,109.144111
50331648,110.292438,110.101417
67108864,114.414486,113.891660
134217728,118.571160,116.863861
